mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=sqlstore t=2025-04-08T17:56:43.237261375Z level=info msg="Created default organization"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=secrets t=2025-04-08T17:56:43.24194181Z level=info msg="Envelope encryption state" enabled=true currentprovider=secretKey.v1
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.angulardetectorsprovider.dynamic t=2025-04-08T17:56:43.345723537Z level=info msg="Restored cache from database" duration=705.441µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.348047494Z level=info msg="Locking database"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.348121814Z level=info msg="Starting DB migrations"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.349832298Z level=info msg="Executing migration" id="create resource_migration_log table"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.350961035Z level=info msg="Migration successfully executed" id="create resource_migration_log table" duration=1.128195ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.360841447Z level=info msg="Executing migration" id="Initialize resource tables"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.36106688Z level=info msg="Migration successfully executed" id="Initialize resource tables" duration=229.362µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.370888316Z level=info msg="Executing migration" id="drop table resource"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.371085657Z level=info msg="Migration successfully executed" id="drop table resource" duration=197.732µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.378188426Z level=info msg="Executing migration" id="create table resource"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.379986145Z level=info msg="Migration successfully executed" id="create table resource" duration=1.797242ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.385598396Z level=info msg="Executing migration" id="create table resource, index: 0"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.387072799Z level=info msg="Migration successfully executed" id="create table resource, index: 0" duration=1.474674ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.391957804Z level=info msg="Executing migration" id="drop table resource_history"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.392125199Z level=info msg="Migration successfully executed" id="drop table resource_history" duration=166.635µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.395586517Z level=info msg="Executing migration" id="create table resource_history"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.396686686Z level=info msg="Migration successfully executed" id="create table resource_history" duration=1.099832ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.401473986Z level=info msg="Executing migration" id="create table resource_history, index: 0"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.403091319Z level=info msg="Migration successfully executed" id="create table resource_history, index: 0" duration=1.616518ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.408412763Z level=info msg="Executing migration" id="create table resource_history, index: 1"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.409791648Z level=info msg="Migration successfully executed" id="create table resource_history, index: 1" duration=1.381718ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.414809893Z level=info msg="Executing migration" id="drop table resource_version"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.414969678Z level=info msg="Migration successfully executed" id="drop table resource_version" duration=158.885µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.419436505Z level=info msg="Executing migration" id="create table resource_version"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.420416333Z level=info msg="Migration successfully executed" id="create table resource_version" duration=980.034µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.425195205Z level=info msg="Executing migration" id="create table resource_version, index: 0"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.426586203Z level=info msg="Migration successfully executed" id="create table resource_version, index: 0" duration=1.391074ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.431615753Z level=info msg="Executing migration" id="drop table resource_blob"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.431782106Z level=info msg="Migration successfully executed" id="drop table resource_blob" duration=165.691µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.435383101Z level=info msg="Executing migration" id="create table resource_blob"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.436651012Z level=info msg="Migration successfully executed" id="create table resource_blob" duration=1.267585ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.441701729Z level=info msg="Executing migration" id="create table resource_blob, index: 0"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.443100098Z level=info msg="Migration successfully executed" id="create table resource_blob, index: 0" duration=1.398163ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.447695564Z level=info msg="Executing migration" id="create table resource_blob, index: 1"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.449077749Z level=info msg="Migration successfully executed" id="create table resource_blob, index: 1" duration=1.380209ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.453941955Z level=info msg="Executing migration" id="Add column previous_resource_version in resource_history"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.463186769Z level=info msg="Migration successfully executed" id="Add column previous_resource_version in resource_history" duration=9.242871ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.467813582Z level=info msg="Executing migration" id="Add column previous_resource_version in resource"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.477663346Z level=info msg="Migration successfully executed" id="Add column previous_resource_version in resource" duration=9.84769ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.482941482Z level=info msg="Executing migration" id="Add index to resource_history for polling"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.48437618Z level=info msg="Migration successfully executed" id="Add index to resource_history for polling" duration=1.434784ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.4891579Z level=info msg="Executing migration" id="Add index to resource for loading"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.49051995Z level=info msg="Migration successfully executed" id="Add index to resource for loading" duration=1.362028ms
